# Removed extra columns, and rows at the end of the file
# Replaced '0' with INDEF
# Replaced INDEF with nan
ID alpha delta x y v ev bv ebv ub eub vi evi d_arcsec
555 16.917179 -39.26644 1934.05 82.973 15.988 0.014 1.977 0.044 1.257 0.055 2.535 0.015 7.0461
600 16.93586 -39.625036 120.384 3046.58 16.162 0.008 1.087 0.038 0.265 0.045 1.261 0.013 8.7952
609 16.935371 -39.624448 167.87 3041.72 16.19 0.011 nan nan nan nan 3.24 0.014 8.7444
1549 16.934073 -39.593339 293.912 2784.62 18.038 0.021 1.341 0.054 nan nan 1.665 0.022 7.4056
1715 16.934056 -39.602475 295.541 2860.12 18.251 0.023 1.897 0.063 nan nan 2.353 0.024 7.6539
1919 16.934089 -39.591758 292.342 2771.55 18.503 0.023 1.748 0.057 nan nan 2.195 0.024 7.4114
2683 16.928261 -39.553679 858.188 2456.85 19.217 0.03 1.827 0.042 nan nan 2.363 0.032 8.1475
3664 16.923801 -39.54522 1291.16 2386.94 19.834 0.026 2.001 0.051 nan nan 3.364 0.03 9.7841
4095 16.933587 -39.589754 341.067 2754.99 20.083 0.026 1.843 0.056 nan nan 2.801 0.045 7.0302
405 16.925594 -39.312682 1117.13 465.141 15.335 0.01 0.82 0.016 0.269 0.017 1.064 0.012 9.2636
1104 16.91817 -39.540271 1837.88 2346.04 17.362 0.014 2.486 0.06 nan nan 4.109 0.014 8.9494
1188 16.937034 -39.55271 6.43 2448.84 17.504 0.016 1.113 0.07 0.603 0.082 1.45 0.017 8.5636
1199 16.933849 -39.467966 315.664 1748.48 17.52 0.013 1.472 0.023 nan nan 1.954 0.016 9.1078
1370 16.918675 -39.454481 1788.83 1637.03 17.766 0.011 2.228 0.031 nan nan 2.867 0.013 8.5912
2027 16.920262 -39.52077 1634.73 2184.88 18.628 0.019 1.109 0.043 nan nan 1.866 0.022 7.5826
2123 16.929913 -39.595256 697.796 2800.46 18.72 0.022 1.622 0.044 nan nan 2.024 0.024 8.8891
2701 16.921346 -39.339567 1529.53 687.33 19.232 0.019 1.474 0.057 nan nan 2.131 0.021 7.5969
2841 16.919796 -39.368711 1680.02 928.189 19.336 0.019 1.684 0.043 nan nan 2.495 0.022 7.9358
1573 16.934639 -39.507106 238.945 2071.95 18.065 0.018 2.499 0.026 nan nan 3.153 0.019 7.8453
3599 16.922872 -39.412751 1381.38 1292.16 19.799 0.026 2.122 0.071 nan nan 2.863 0.03 7.2813
4158 16.922591 -39.334027 1408.61 641.547 20.126 0.024 1.818 0.057 nan nan 2.401 0.032 9.0630
3029 16.933352 -39.512255 363.915 2114.5 19.451 0.026 1.622 0.033 nan nan 2.067 0.03 7.8749
2078 16.922893 -39.288235 1379.36 263.103 18.677 0.022 2.24 0.05 nan nan 2.969 0.023 7.1261
1991 16.918612 -39.360686 1794.99 861.867 18.589 0.016 1.654 0.034 nan nan 2.31 0.018 7.7208
4319 16.921961 -39.331597 1469.83 621.465 20.228 0.019 1.849 0.065 nan nan 2.51 0.026 8.1378
4326 16.935026 -39.446388 201.362 1570.15 20.233 0.027 1.96 0.068 nan nan 2.508 0.032 7.3327
1856 16.921374 -39.397388 1526.75 1165.19 18.425 0.021 2.679 0.054 nan nan 4.401 0.021 7.2903
4301 16.919772 -39.529588 1682.3 2257.75 20.217 0.031 1.824 0.054 nan nan 2.687 0.036 7.1397
